Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
0.78667,-98.4394,25.33405,-0.44414,657.14899,668.12196,667.62554
0.79,-102.3424,25.58696,0.54901,655.30894,665.7801,666.28737
0.79333,-97.13791,26.15604,3.52846,656.47984,666.78379,666.28737
0.79667,-93.23491,25.96633,0.54901,657.48353,667.11833,667.12372
0.8,-102.3424,25.58696,-0.60966,655.14167,668.28929,666.12003
0.80333,-98.4394,25.83988,1.54216,656.47984,666.28197,666.45464
0.80667,-107.5464,25.71342,1.04558,657.31626,666.61652,667.62554
0.81,-90.63291,25.46051,-1.27176,656.1453,667.2856,667.29099
0.81333,-106.2454,26.09282,1.54216,655.97803,666.11464,666.28737
0.81667,-98.4394,25.65019,2.70083,657.48353,667.11833,666.62191
0.82,-104.9444,25.71342,-1.43729,657.31626,666.11464,667.12372
0.82333,-94.53591,25.90311,1.37664,656.64718,667.45287,665.1164
0.82667,-97.13791,25.52373,-0.11309,656.47984,666.95106,668.62923
0.83,-115.35289,25.83988,0.38349,656.47984,666.11464,665.1164
0.83333,-98.4394,25.96633,0.88006,657.81808,667.2856,666.78918
0.83667,-97.13791,25.83988,1.37664,656.81445,664.94374,665.45094
0.84,-102.3424,25.83988,3.36292,657.81808,667.78742,666.78918
0.84333,-94.53591,25.65019,-0.11309,656.1453,666.11464,666.45464
0.84667,-106.2454,25.77665,0.88006,656.31257,666.78379,665.78549
0.85,-98.4394,25.65019,-0.44414,656.81445,667.62014,667.79281
0.85333,-98.4394,25.77665,0.38349,656.31257,666.28197,664.94913
0.85667,-104.9444,25.77665,1.70768,657.98535,667.45287,666.62191
0.86,-94.53591,25.71342,0.38349,654.80713,667.11833,667.29099
0.86333,-110.1484,25.71342,1.70768,656.47984,665.7801,665.78549
0.86667,-93.23491,25.77665,1.37664,657.6508,666.95106,666.95645
0.87,-103.6434,25.46051,0.88006,657.81808,667.78742,667.12372
0.87333,-95.83691,25.65019,-0.11309,656.47984,665.27828,666.62191
0.87667,-91.93391,25.77665,1.87321,658.48716,665.94737,666.78918
0.88,-97.13791,25.58696,-0.44414,657.81808,667.45287,666.78918
0.88333,-107.5464,25.96633,0.88006,656.81445,665.7801,665.45094
0.88667,-103.6434,25.77665,2.36977,657.31626,666.95106,666.45464
0.89,-104.9444,25.58696,-0.60966,657.14899,667.45287,667.12372
0.89333,-103.6434,25.83988,1.04558,655.97803,666.28197,664.94913
0.89667,-99.7404,25.65019,0.88006,658.15262,667.95469,668.29462
0.9,-102.3424,25.58696,1.37664,655.97803,666.78379,666.28737
0.90333,-110.1484,25.96633,1.70768,657.31626,667.62014,666.28737
0.90667,-101.0414,25.52373,0.88006,656.1453,666.78379,666.78918
0.91,-102.3424,25.83988,1.54216,657.48353,665.61282,665.95276
0.91333,-94.53591,25.83988,1.37664,656.81445,667.2856,666.78918
0.91667,-97.13791,25.52373,0.71453,657.14899,665.44555,665.28367
0.92,-94.53591,25.71342,0.88006,657.31626,667.95469,664.94913
0.92333,-107.5464,25.83988,0.71453,656.31257,666.95106,667.62554
0.92667,-102.3424,25.71342,2.20425,656.1453,665.61282,665.95276
0.93,-102.3424,25.65019,1.2111,658.31989,666.78379,665.45094
0.93333,-94.53591,25.52373,0.05243,655.47621,666.11464,666.95645
0.93667,-98.4394,25.83988,1.2111,657.14899,664.77647,666.62191
0.94,-94.53591,25.83988,0.71453,657.81808,667.11833,666.62191
0.94333,-99.7404,25.71342,-0.27861,656.47984,666.78379,666.45464
0.94667,-102.3424,26.02959,2.53531,658.48716,666.95106,664.94913
0.95,-93.23491,25.83988,0.54901,656.98172,665.94737,665.95276
0.95333,-97.13791,25.96633,2.03873,659.8254,667.2856,665.61822
0.95667,-102.3424,25.77665,1.54216,656.1453,667.62014,666.62191
0.96,-98.4394,25.58696,1.87321,656.98172,665.94737,665.28367
0.96333,-93.23491,25.52373,0.05243,657.81808,667.62014,667.29099
0.96667,-93.23491,25.52373,0.88006,656.64718,665.11101,666.95645
0.97,-93.23491,25.65019,2.20425,657.81808,667.45287,666.12003
0.97333,-101.0414,25.39728,-0.11309,657.6508,666.78379,668.12735
0.97667,-104.9444,25.90311,1.70768,656.98172,665.94737,663.6109
0.98,-101.0414,25.96633,0.88006,658.65443,667.62014,666.62191
0.98333,-99.7404,25.58696,1.2111,656.64718,666.61652,665.78549
0.98667,-88.03091,25.71342,1.2111,658.48716,665.61282,665.61822
0.99,-99.7404,25.46051,0.38349,656.64718,667.62014,666.78918
0.99333,-95.83691,25.77665,0.88006,658.82177,665.94737,663.94544
0.99667,-99.7404,25.71342,1.70768,658.31989,666.95106,665.95276
1,-103.6434,25.46051,1.2111,658.15262,667.95469,666.28737
1.00333,-97.13791,25.71342,0.05243,656.81445,666.28197,667.79281
1.00667,-93.23491,25.90311,1.2111,656.98172,665.94737,665.61822
1.01,-102.3424,25.46051,1.70768,658.48716,667.78742,666.28737
1.01333,-103.6434,25.58696,0.38349,656.81445,666.44924,667.29099
1.01667,-99.7404,25.71342,1.54216,656.64718,665.94737,663.94544
1.02,-91.93391,25.52373,0.54901,657.98535,667.95469,666.45464
1.02333,-102.3424,25.39728,0.21795,657.31626,667.95469,666.95645
1.02667,-91.93391,25.14434,0.38349,657.14899,666.28197,665.45094
1.03,-110.1484,25.77665,1.87321,657.31626,667.62014,665.1164
1.03333,-101.0414,25.65019,1.87321,658.98904,666.28197,667.45827
1.03667,-101.0414,25.83988,0.21795,656.31257,665.94737,665.61822
1.04,-95.83691,25.83988,0.54901,657.81808,666.44924,664.11277
1.04333,-99.7404,25.83988,1.87321,657.98535,667.62014,665.45094
1.04667,-99.7404,25.46051,1.54216,657.81808,666.95106,667.12372
1.05,-97.13791,25.33405,-0.94072,657.48353,666.44924,666.95645
1.05333,-99.7404,25.83988,0.88006,656.81445,665.7801,665.61822
1.05667,-98.4394,25.96633,1.70768,657.48353,667.2856,666.12003
1.06,-104.9444,25.46051,0.05243,658.15262,668.12196,667.12372
